form	new_latin_output
bo'yoqlarga	böyoqlarga
bogʻlashadi	boğlaşadi
boqqancha	boqqança
borishlik	borişlik
boshidir	boşidir
boshlaganingda	boşlaganingda
boshlaganiz	boşlaganiz
boshlamay	boşlamay
boshlamoqchimisiz	boşlamoqçimisiz
boshlanardi	boşlanardi
boshlang‘ichda	boşlanğiçda
boshlanibdi	boşlanibdi
boshlanishidir	boşlanişidir
boshliqdan	boşliqdan
boshlovchilik	boşlovçilik
boshlovchini	boşlovçini
boshqaning	boşqaning
boshqaruvchisidirlar	boşqaruvçisidirlar
bosqichdir	bosqiçdir
boʻlarman	bölarman
boʻlarmiz	bölarmiz
boʻlayapmiz	bölayapmiz
boʻldinglar	böldinglar
boʻlibman	bölibman
boʻyinda	böyinda
bo‘laslar	bölaslar
bo‘layotgandek	bölayotgandek
bo‘ldiykin	böldiykin
bo‘lmaganmi	bölmaganmi
bo‘salarga	bösalarga
bo’lganing	bölganing
bo’lishingizga	bölişingizga
bo’lmaganman	bölmaganman
bo’lmasak	bölmasak
burishtirib	buriştirib
buyurtmachiligida	buyurtmaçiligida
buzilishdan	buzilişdan
chalg‘itishlarini	çalğitişlarini
chanalarda	çanalarda
chaqaloqli	çaqaloqli
chaqirishar	çaqirişar
chaqirishini	çaqirişini
chaqmoqdan	çaqmoqdan
chaqmoqqa	çaqmoqqa
chegarachilariga	çegaraçilariga
chegaralanganligini	çegaralanganligini
chegaralarigacha	çegaralarigaça
chehralar	çehralar
chekini	çekini
chekishadi	çekişadi
cheklanganda	çeklanganda
cheklanmasdan	çeklanmasdan
cheklashi	çeklaşi
cheklovdan	çeklovdan
chelaklab	çelaklab
chempionatlar	çempionatlar
cherkovlarning	çerkovlarning
chigallashtirib	çigallaştirib
chimildiqqa	çimildiqqa
chinorlarini	çinorlarini
chipni	çipni
chiqardingiz	çiqardingiz
chiqaribdimi	çiqaribdimi
chiqarilgani	çiqarilgani
chiqarishar	çiqarişar
chiqarkin	çiqarkin
chiqarmaydilar	çiqarmaydilar
chiqaymi	çiqaymi
chiqganda	çiqganda
chiqilgach	çiqilgaç
chiqilganidan	çiqilganidan
chiqishayapti	çiqişayapti
chiqishganini	çiqişganini
chiqishibdi	çiqişibdi
chiqishmaysiz	çiqişmaysiz
chiqisholmayman	çiqişolmayman
chiroqli	çiroqli
chizishganda	çizişganda
cho'zilishiga	çözilişiga
chogʻlaydilar	çoğlaydilar
chohni	çohni
choklarim	çoklarim
chorlasa	çorlasa
chorrahasiga	çorrahasiga
cho’mdiradi	çömdiradi
chuqurliklarda	çuqurliklarda
dahshatlar	dahşatlar
dalg'ovlik	dalğovlik
dasturchilariga	dasturçilariga
demoqchiligimni	demoqçiligimni
deyarmish	deyarmiş
deyishadiyu	deyişadiyu
do'stlaringizni	döstlaringizni
do'zaxda	dözaxda
doʻkonlariga	dökonlariga
do‘stlarimga	döstlarimga
do‘stlarimizning	döstlarimizning
do’konlarini	dökonlarini
do’stimga	döstimga
dunyoqarashda	dunyoqaraşda
dunyoqarashlarimiz	dunyoqaraşlarimiz
egishmas	egişmas
ekranlashtirilgan	ekranlaştirilgan
eksportchilarimizga	eksportçilarimizga
elchimiz	elçimiz
ergashgay	ergaşgay
erishdingiz	erişdingiz
erishishidan	erişişidan
erishishimizga	erişişimizga
erishmay	erişmay
erishsak	erişsak
eshagi	eşagi
eshitgandirsiz	eşitgandirsiz
eshittiradi	eşittiradi
eslatishadi	eslatişadi
ettirilishini	ettirilişini
fashistlardan	faşistlardan
fashistlari	faşistlari
fikrlashimga	fikrlaşimga
fikrlashingizga	fikrlaşingizga
fohishalar	fohişalar
g'arblik	ğarblik
g'ishtni	ğiştni
g'iybatdan	ğiybatdan
gaplashardik	gaplaşardik
gaplashishi	gaplaşişi
go'shalaridan	göşalaridan
gʻamimiz	ğamimiz
gʻashingizga	ğaşingizga
gʻiybatchi	ğiybatçi
gʻuborlari	ğuborlari
g‘amidan	ğamidan
g‘azabimni	ğazabimni
hisoblashlari	hisoblaşlari
ichamanki	içamanki
ichda	içda
ichidagini	içidagini
ichingizdagi	içingizdagi
ichkilikni	içkilikni
ilohiyotshunos	ilohiyotşunos
iqtisodchilarni	iqtisodçilarni
ishbilarmonlarni	işbilarmonlarni
ishchanligi	işçanligi
ishdaman	işdaman
ishimdagi	işimdagi
ishlaganimizda	işlaganimizda
ishlagin	işlagin
ishlamaganing	işlamaganing
ishlamaslikni	işlamaslikni
ishlamayapmiz	işlamayapmiz
ishlashdir	işlaşdir
ishlashgan	işlaşgan
ishlashingiz	işlaşingiz
ishlatishmoqda	işlatişmoqda
ishlayapmiz	işlayapmiz
ishonchsizligim	işonçsizligim
ishonganlar	işonganlar
ishonmaysiz	işonmaysiz
ishonsang	işonsang
ishoralarni	işoralarni
ishqibozlaribop	işqibozlaribop
ishqingizni	işqingizni
islomshunos	islomşunos
ixchamgina	ixçamgina
iyuligacha	iyuligaça
izlanishlaridir	izlanişlaridir
izlashi	izlaşi
izohlashadi	izohlaşadi
jadidchilarning	jadidçilarning
jamlamoqchi	jamlamoqçi
jangchini	jangçini
jarayonigacha	jarayonigaça
jinoyatchilikdan	jinoyatçilikdan
joylashtirilganini	joylaştirilganini
joylashtirishlari	joylaştirişlari
kamchiliklarda	kamçiliklarda
kamchiliklarim	kamçiliklarim
kapitallashuvi	kapitallaşuvi
kechaklarni	keçaklarni
kechinmalarim	keçinmalarim
kechirmayman	keçirmayman
kechishing	keçişing
kechmish	keçmiş
kelishdimi	kelişdimi
kelishidagi	kelişidagi
kelishigayam	kelişigayam
kelishmovchilikni	kelişmovçilikni
kelishuvining	kelişuvining
kelishuvlariga	kelişuvlariga
keltirishdir	keltirişdir
keltirishgan	keltirişgan
ketaverishadi	ketaverişadi
ketishlarida	ketişlarida
kichigiman	kiçigiman
kinochilar	kinoçilar
kirishaman	kirişaman
kiyinishda	kiyinişda
kiyishni	kiyişni
klassifikatsiyalashdagi	klassifikatsiyalaşdagi
ko'chirishadi	köçirişadi
ko'nchi	könçi
ko'payganida	köpayganida
ko'payishib	köpayişib
ko'pchilikdan	köpçilikdan
ko'ravering	köravering
ko'rilmasa	körilmasa
ko'rin	körin
ko'rinishdir	körinişdir
ko'rishguncha	körişgunça
ko'rishishi	körişişi
ko'rishiz	körişiz
ko'rishlar	körişlar
ko'rmaganimga	körmaganimga
ko'rmayapmiz	körmayapmiz
ko'rolmagan	körolmagan
ko'rsatgisi	körsatgisi
ko'rsatuvlarimizni	körsatuvlarimizni
ko'tarmagan	kötarmagan
ko'zlaringdan	közlaringdan
koʻmaklashishni	kömaklaşişni
koʻringchi	köringçi
koʻrmaslikka	körmaslikka
koʻrsatayapti	körsatayapti
koʻrsatishyapti	körsatişyapti
koʻryapti	köryapti
koʻzligim	közligim
ko‘mar	kömar
ko‘nmas	könmas
ko‘payishining	köpayişining
ko‘rdinglarmi	kördinglarmi
ko‘rfazida	körfazida
ko‘rganimizda	körganimizda
ko‘rinmasdan	körinmasdan
ko‘risha	körişa
ko‘rishishga	körişişga
ko‘rsatkichlarimizga	körsatkiçlarimizga
ko‘rsatsangiz	körsatsangiz
ko‘ydagi	köydagi
ko’chalarimiz	köçalarimiz
ko’ngan	köngan
ko’rsatgichlarga	körsatgiçlarga
ko’rsatyaptiki	körsatyaptiki
kuchmas	kuçmas
kulishim	kulişim
kurashadilar	kuraşadilar
kutmoqchi	kutmoqçi
kuzatishini	kuzatişini
lochinlari	loçinlari
lugʻatining	luğatining
mablag'imiz	mablağimiz
mag'lubiyatsiz	mağlubiyatsiz
maishatdan	maişatdan
mantigʻiga	mantiğiga
mantigʻini	mantiğini
marshrutlari	marşrutlari
mashhurlikda	maşhurlikda
mashinalarimiz	maşinalarimiz
mashinangiz	maşinangiz
maslahatchisiga	maslahatçisiga
mayishib	mayişib
mishlarni	mişlarni
mototsiklchilar	mototsiklçilar
moʻtadillashib	mötadillaşib
mushtaraklikka	muştaraklikka
mushtlashgan	muştlaşgan
mushuksimonlar	muşuksimonlar
musiqachilarni	musiqaçilarni
mutlaqlashtirish	mutlaqlaştiriş
nafratlanishni	nafratlanişni
namoyishchilarning	namoyişçilarning
nishonlarni	nişonlarni
nishonlay	nişonlay
nochorlarning	noçorlarning
nochorligi	noçorligi
noshirlikka	noşirlikka
nosog'lomlik	nosoğlomlik
o'chirilmoqda	öçirilmoqda
o'chirishgan	öçirişgan
o'g'lingni	öğlingni
o'lchovidir	ölçovidir
o'ldirishigacha	öldirişigaça
o'qiganlarim	öqiganlarim
o'qimadingiz	öqimadingiz
o'qimaydigandek	öqimaydigandek
o'qishining	öqişining
o'rganganlarimni	örganganlarimni
o'rgatishimni	örgatişimni
o'sgansiz	ösgansiz
o'tilsa	ötilsa
o'tirsang	ötirsang
o'tkazganim	ötkazganim
o'tmaydida	ötmaydida
o'tsangiz	ötsangiz
o'xshaganidan	öxşaganidan
o'ylaganman	öylaganman
o'ylamaslik	öylamaslik
o'zgarmayapti	özgarmayapti
o'zgartiribdi	özgartiribdi
o'zgaruvchidan	özgaruvçidan
obunachiga	obunaçiga
obunachisi	obunaçisi
ochiladur	oçiladur
ochiqlamasdan	oçiqlamasdan
ochiqlamaydi	oçiqlamaydi
ochlikdir	oçlikdir
og'rig'idan	oğriğidan
og'zimdan	oğzimdan
og‘izlariga	oğizlariga
oldiruvchi	oldiruvçi
olishdiki	olişdiki
olishimni	olişimni
olishingizda	olişingizda
olqishlasa	olqişlasa
omborcha	omborça
oqshomlarini	oqşomlarini
oshiradimi	oşiradimi
oshirilibdi	oşirilibdi
oydinlashdi	oydinlaşdi
oyog‘ingizdan	oyoğingizdan
oyog’ingdan	oyoğingdan
oʻchirishni	öçirişni
oʻgirishlari	ögirişlari
oʻgʻrilarga	öğrilarga
oʻgʻrilaydigan	öğrilaydigan
oʻlchovlaridan	ölçovlaridan
oʻldirganlari	öldirganlari
oʻlkalardan	ölkalardan
oʻqigandan	öqigandan
oʻrnatamiz	örnatamiz
oʻtding	ötding
oʻtganlarni	ötganlarni
oʻtganman	ötganman
oʻtishgandi	ötişgandi
oʻtmaganimiz	ötmaganimiz
o‘ldirilgani	öldirilgani
o‘nglash	önglaş
o‘qiganing	öqiganing
o‘qigin	öqigin
o‘qimasdan	öqimasdan
o‘qimasdi	öqimasdi
o‘qisak	öqisak
o‘qishdagi	öqişdagi
o‘qishlar	öqişlar
o‘qita	öqita
o‘qituvchilarda	öqituvçilarda
o‘qiyotgandirsiz	öqiyotgandirsiz
o‘quvchilarim	öquvçilarim
o‘quvching	öquvçing
o‘rganganimda	örganganimda
o‘rtanar	örtanar
o‘rtog‘ingiz	örtoğingiz
o‘tadiganlar	ötadiganlar
o‘tadimi	ötadimi
o‘tilar	ötilar
o‘tirishgandi	ötirişgandi
o‘tirma	ötirma
o‘tkazganini	ötkazganini
o‘tkazganlari	ötkazganlari
o‘tsada	ötsada
o‘xshashlikni	öxşaşlikni
o‘ylagancha	öylagança
o‘zbekistonlikda	özbekistonlikda
o‘zgarayotganini	özgarayotganini
o‘zgartishga	özgartişga
o‘zingizcha	özingizça
o’qimasa	öqimasa
o’qimasligi	öqimasligi
o’qita	öqita
o’rnatamiz	örnatamiz
o’rtoqlashib	örtoqlaşib
o’sayapti	ösayapti
o’tasan	ötasan
o’ylarkan	öylarkan
o’ylayapman	öylayapman
parchalagan	parçalagan
patentlashdan	patentlaşdan
pichoqqa	piçoqqa
poklashga	poklaşga
politsiyachidan	politsiyaçidan
politsiyachilarga	politsiyaçilarga
portlashda	portlaşda
poygachilar	poygaçilar
poygachisi	poygaçisi
qadrlashadi	qadrlaşadi
qadrlashingiz	qadrlaşingiz
qamashadi	qamaşadi
qamchisi	qamçisi
qaratishim	qaratişim
qarindoshga	qarindoşga
qashshoqligining	qaşşoqligining
qashshoqlikning	qaşşoqlikning
qatag‘onga	qatağonga
qaychisi	qayçisi
qaygʻurishi	qayğurişi
qilcha	qilça
qildirishi	qildirişi
qilisharmidi	qilişarmidi
qimmatlashi	qimmatlaşi
qirgʻinida	qirğinida
qiruvchilari	qiruvçilari
qishliq	qişliq
qishloqdoshlar	qişloqdoşlar
qisqartirilishini	qisqartirilişini
qisqartirishiga	qisqartirişiga
qiziqishlaringizga	qiziqişlaringizga
qo'lila	qölila
qo'lizga	qölizga
qo'riqlamoqda	qöriqlamoqda
qo'shilibdi	qöşilibdi
qo'shilishining	qöşilişining
qo'yarkansiz	qöyarkansiz
qo'yarman	qöyarman
qochding	qoçding
qochyapman	qoçyapman
qolishmasin	qolişmasin
qoqishini	qoqişini
qotirishni	qotirişni
qoʻrqishadi	qörqişadi
qoʻrqmasliklari	qörqmasliklari
qoʻshilmoqda	qöşilmoqda
qoʻshiqlardan	qöşiqlardan
qoʻyishganini	qöyişganini
qo‘riqlov	qöriqlov
qo‘shiqchisi	qöşiqçisi
qo‘ygandik	qöygandik
qo‘yganliklari	qöyganliklari
qo‘zichoqqa	qöziçoqqa
qo’llamagan	qöllamagan
qo’mitasidan	qömitasidan
qo’yilibdi	qöyilibdi
qulog'imizga	quloğimizga
qurishidan	qurişidan
qurishsa	qurişsa
quruvchisi	quruvçisi
qushlardir	quşlardir
quvvatlanish	quvvatlaniş
quvvatlovchisi	quvvatlovçisi
quyishgan	quyişgan
quymoqchi	quymoqçi
ragʻbatlantirishlar	rağbatlantirişlar
ragʻbatli	rağbatli
ramkachalar	ramkaçalar
raqobatdoshlik	raqobatdoşlik
rasmiylashtirishning	rasmiylaştirişning
rejalashtirdi	rejalaştirdi
ro'molingni	römolingni
ro'yxatlariga	röyxatlariga
roʻyxatdagilardan	röyxatdagilardan
ruhlantiruvchi	ruhlantiruvçi
ruschasiga	rusçasiga
sabog'i	saboği
san'atchilar	sanʼatçilar
sanalishiga	sanalişiga
sanashim	sanaşim
saqlashingiz	saqlaşingiz
sarflashsa	sarflaşsa
sarguzashtda	sarguzaştda
sentabrigacha	sentabrigaça
sezishmaydi	sezişmaydi
shabadasidan	şabadasidan
shabbalardan	şabbalardan
shahzodalarni	şahzodalarni
shakllantirayotgan	şakllantirayotgan
shamolmi	şamolmi
sharbatlarini	şarbatlarini
sharmandayu	şarmandayu
sharqni	şarqni
shartligini	şartligini
shaxsiyatlar	şaxsiyatlar
shaxssan	şaxssan
shaymiz	şaymiz
shayxlari	şayxlari
she'ringiz	şeʼringiz
she'ringizni	şeʼringizni
sheriklardan	şeriklardan
shifoxonami	şifoxonami
shikastlanishdan	şikastlanişdan
shiorni	şiorni
shishakor	şişakor
shohlarin	şohlarin
shoirining	şoirining
shousini	şousini
shovqinlarni	şovqinlarni
shoxlanish	şoxlaniş
shubhalari	şubhalari
shug'ullanardi	şuğullanardi
shugina	şugina
shug‘ullanganman	şuğullanganman
shukrdan	şukrdan
shulardek	şulardek
shunchaga	şunçaga
shundogʻam	şundoğam
siljishning	siljişning
sinfdoshi	sinfdoşi
sinfdoshlaringiz	sinfdoşlaringiz
siyosatchidan	siyosatçidan
so'rovlarga	sörovlarga
so'rovnomalarga	sörovnomalarga
so'ylaydigan	söylaydigan
sochlaridan	soçlaridan
solishimiz	solişimiz
solishtiradigan	soliştiradigan
solmaguncha	solmagunça
sotuvchilari	sotuvçilari
sotuvchilariga	sotuvçilariga
sotuvchini	sotuvçini
sovg’alarga	sovğalarga
so‘ksa	söksa
so‘lakning	sölakning
so‘zlaganda	sözlaganda
so‘zlamoq	sözlamoq
so’rashganda	söraşganda
stimullashini	stimullaşini
sudlashmaydi	sudlaşmaydi
surishmoqda	surişmoqda
suvo'tlargina	suvötlargina
ta'sirchanlikka	taʼsirçanlikka
tadqiqotcha	tadqiqotça
tadqiqotchilarining	tadqiqotçilarining
tamomlash	tamomlaş
tanishganim	tanişganim
tanishmoqda	tanişmoqda
tanlashgan	tanlaşgan
tanlashgandi	tanlaşgandi
tanlashsa	tanlaşsa
tanqidchilarning	tanqidçilarning
tanqidchiligi	tanqidçiligi
taqchillik	taqçillik
taqchillikni	taqçillikni
tasdiqlashni	tasdiqlaşni
tashlamaslikka	taşlamaslikka
tashlashsa	taşlaşsa
tashlaymi	taşlaymi
tashvishlariga	taşvişlariga
tayanishgan	tayanişgan
tayinlashga	tayinlaşga
ta’limgacha	taʼlimgaça
teginishlar	teginişlar
tekshirishadi	tekşirişadi
tengdoshlarimga	tengdoşlarimga
tengdoshlaringizni	tengdoşlaringizni
terrorchilarni	terrorçilarni
tinchlanmagan	tinçlanmagan
tinglashi	tinglaşi
to'g'riladi	töğriladi
to'g'rilikni	töğrilikni
to'laganlar	tölaganlar
to'lamaydi	tölamaydi
to'ldira	töldira
to'lqinin	tölqinin
to'plamlarda	töplamlarda
to'qiy	töqiy
to'qnashayotgan	töqnaşayotgan
to'xtatadigan	töxtatadigan
to'ymaysiz	töymaysiz
to'yxonalarda	töyxonalarda
tomchilarni	tomçilarni
tomchimga	tomçimga
topshirganimda	topşirganimda
topshirishyapti	topşirişyapti
torish	toriş
tormozlanishi	tormozlanişi
tortishishdan	tortişişdan
toshiga	toşiga
tovushlariga	tovuşlariga
tozalashdi	tozalaşdi
toʻkishdan	tökişdan
toʻlang	tölang
toʻlashadi	tölaşadi
toʻlatish	tölatiş
toʻplagandim	töplagandim
toʻqchilikda	töqçilikda
to‘kmaydi	tökmaydi
to‘lamoqda	tölamoqda
to‘lqindagi	tölqindagi
to‘ntarishdan	töntarişdan
to‘plamoqda	töplamoqda
to‘polonini	töpolonini
to‘shlarin	töşlarin
to‘xtamaymiz	töxtamaymiz
to’ymaysan	töymaysan
tug'mayapti	tuğmayapti
tug'ruqxona	tuğruqxona
tug’manglar	tuğmanglar
tumshug'ining	tumşuğining
turdoshlaridan	turdoşlaridan
turishingni	turişingni
tushadiyu	tuşadiyu
tushaverib	tuşaverib
tushgandir	tuşgandir
tushganman	tuşganman
tushinishning	tuşinişning
tushirishini	tuşirişini
tushkunlikdan	tuşkunlikdan
tushlaringdan	tuşlaringdan
tushligi	tuşligi
tushunarliki	tuşunarliki
tushunasizki	tuşunasizki
tushunchami	tuşunçami
tushunganingda	tuşunganingda
tushunishimizga	tuşunişimizga
tushunyapsiz	tuşunyapsiz
tutashar	tutaşar
tuzalishni	tuzalişni
uchayotganlar	uçayotganlar
uchbu	uçbu
uchirgan	uçirgan
uchishiga	uçişiga
uchmoqda	uçmoqda
uchoq	uçoq
uchragandek	uçragandek
uchrasangiz	uçrasangiz
ulasha	ulaşa
ulashinglar	ulaşinglar
ulashsangiz	ulaşsangiz
ulashuvchi	ulaşuvçi
ulg'ayganimiz	ulğayganimiz
uqtirishadi	uqtirişadi
urinishlaring	urinişlaring
urishlar	urişlar
ushlaganlaricha	uşlaganlariça
uyalishi	uyalişi
uyimizgacha	uyimizgaça
uyushmasidan	uyuşmasidan
uzoqlasha	uzoqlaşa
uzunchoqligini	uzunçoqligini
vatandoshlariga	vatandoşlariga
vidolashuv	vidolaşuv
xaligacha	xaligaça
xayrlashgan	xayrlaşgan
xillashtirishga	xillaştirişga
xizmatchilarda	xizmatçilarda
xo'rlikka	xörlikka
xohishlarga	xohişlarga
xonakilashtirish	xonakilaştiriş
xoʻrlikdan	xörlikdan
xursandchiliklar	xursandçiliklar
yashasang	yaşasang
yashashida	yaşaşida
yashayapmizmi	yaşayapmizmi
yashiradilar	yaşiradilar
yashirishiga	yaşirişiga
yaxshimiz	yaxşimiz
yeshidayoq	yeşidayoq
yetakchisiga	yetakçisiga
yetakchisining	yetakçisining
yetishar	yetişar
yetishtira	yetiştira
yig'lashar	yiğlaşar
yigitchani	yigitçani
yig‘ing	yiğing
yig‘lamang	yiğlamang
yo'llarimiz	yöllarimiz
yo'qlikning	yöqlikning
yo'qotishimiz	yöqotişimiz
yo'sinlar	yösinlar
yog'ishni	yoğişni
yogʻishiga	yoğişiga
yolg'onlardan	yolğonlardan
yolgʻonlariga	yolğonlariga
yolg’onlarini	yolğonlarini
yollashdan	yollaşdan
yopilishining	yopilişining
yorug'ini	yoruğini
yoshdayam	yoşdayam
yoshligingda	yoşligingda
yostiqcha	yostiqça
yotishda	yotişda
yozishsin	yozişsin
yo‘lagiga	yölagiga
yo‘qotamiz	yöqotamiz
yo‘qotasan	yöqotasan
yo’lniyam	yölniyam
yuborishim	yuborişim
yugurishlar	yugurişlar
yumushga	yumuşga
zichlashgan	ziçlaşgan
zo`rida	zörida
zog'larga	zoğlarga
zo‘rlashi	zörlaşi
